smiles_1,smiles_2,mol_%_1,mol_%_2,Tg,Tg_predicted_mean,Tg_predicted_std
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7CC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))CC*,25,75,121,140.89976272316704,36.84503134854845
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C)(C)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,75,25,278,269.102594905036,30.43495132532857
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C)(C)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,50,50,268,268.21256227904524,32.33250223818812
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C)(C)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,25,75,260,255.93546576201447,27.68230284664799
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C(F)(F)(F))(C(F)(F)(F))C5=CC=C(C=C5)OC6=CC=C(C=C6)*,75,25,278,263.73728014757216,30.63315150999115
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C(F)(F)(F))(C(F)(F)(F))C5=CC=C(C=C5)OC6=CC=C(C=C6)*,50,50,273,261.86700386791244,32.535718329824704
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)C(C(F)(F)(F))(C(F)(F)(F))C5=CC=C(C=C5)OC6=CC=C(C=C6)*,25,75,270,252.6868480909162,27.574189460084074
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=CC=C6)=C6OC5=CC=C(C=C5)*,75,25,269,271.7448547229317,29.138576916075777
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=CC=C6)=C6OC5=CC=C(C=C5)*,50,50,258,276.5474343530224,31.43554612457897
*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC6=CC=C(C=C6)S(=O)(=O)C5=CC=C(C=C5)OC6=CC=C(C=C6)*,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=CC=C6)=C6OC5=CC=C(C=C5)*,25,75,241,256.3577611469928,29.41653987213926
