PI name,SMILES-Polymer,Tg(℃),Measurement methods
"poly(1,3-phenylenecarbonylimino-1,3-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,287.0,DSC
"poly(1,3-phenylenecarbonylimino-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,306.0,DSC
"poly(1,4-phenylenecarbonylimino-1,3-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,309.0,DSC
"poly[1,3-phenylenecarbonyl(methylimino)-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N(C(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)C,255.0,DSC
"poly(1,4-phenyleneoxy-1,4-phenyleneterephthaloyl-1,4-phenyleneoxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,233.0,DSC
"poly[1,4-phenyleneoxytri(1,4-phenylenecarbonyl)-1,4-phenyleneoxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,233.0,DSC
"poly(1,4-phenyleneoxy-1,4-phenylenecarbonyl-1,4-phenyleneoxy-1,4-phenylenecarbonyl-1,4-phenyleneoxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,215.0,DSC
"poly[4,4'-methylenedi(3-methylphenylene)-3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1C)Cc1ccc(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,289.0,DSC
"poly[4,4'-(ethylenedioxy)diphenylene 3,3',4,4'-(carbonyldiphenylene)-tetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,246.0,DSC
"poly[1,4-phenylenedi(oxyethylene)oxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,235.0,DSC
"poly[1,4-phenylenetri(oxyethylene)oxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOCCOCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,200.0,DSC
"poly(1,3-phenyleneoxyethyleneoxy-1,3-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)OCCOc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,191.0,DSC
"poly(1,4-phenyleneoxy-1,4-phenylenehexafluoroisopropylidene-1,4-phenyleneoxy-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,253.0,DSC
"poly[3,3'-sulfonyldiphenylene 3,3',4,4'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)S(=O)(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,209.0,DSC
"poly[3,3'-sulfonyldiphenylene 3,3',4,4'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)S(=O)(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,205.0,DSC
"poly{(4,4'-oxydianiline)-alt-[4,4'-(biphenyl-4,4'-diyl)dioxybis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,277.0,DSC
"poly{(4,4'-oxydianiline)-alt-[5,5'-(biphenyl-4,4'-diyldioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,229.0,DSC
"poly{[4,4'-(1,3-phenylenedioxy)dianiline]-alt-[4,4'-(biphenyl-4,4'-diyl)dioxybis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Oc1ccc(cc1)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,224.0,DSC
"poly{[4,4'-(1,3-phenylenedioxy)dianiline]-alt-[5,5'-(biphenyl-4,4'-diyldioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,205.0,DSC
"poly{(m-phenylenediamine)-alt-[4,4'-(biphenyl-4,4'-diyl)dioxybis(isobenzofuran-1,3-dione)]}",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,275.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene(1,3-dioxoisoindoline-2,5-diyl)oxybiphenyl-4,4'-diyloxy]",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,247.0,DSC
"poly[1,3-phenylene 2,2',3,3'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,248.0,DSC
"poly[1,3-phenylene 3,3',4,4'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,239.0,DSC
"poly[4,4'-oxydiphenylene 2,2',3,3'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)c1cccc2c1C(=O)N(C2=O)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,252.0,DSC
"poly[4,4'-oxydiphenylene 3,3',4,4'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,210.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 3,3',4,4'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,194.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 2,2',3,3'-(4,4'-carbonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,216.0,DSC
"poly[1,3-phenylene 2,2',3,3'-(4,4'-isopropylidenediphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*)(C)C,236.0,DSC
"poly((m-phenylenediamine)-alt-{5,5'-[(1-methylethane-1,1-diyl)bis(4,1-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,215.0,DSC
"poly[4,4'-oxydiphenylene 2,2',3,3'-(4,4'-isopropylidenediphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*)(C)C,235.0,DSC
"poly[4,4'-oxydiphenylene 3,3',4,4'-(4,4'-isopropylidenediphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,223.0,DSC
" poly[1,3-phenylene 2,2',3,3'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,231.0,DSC
"poly[1,3-phenylene 3,3',4,4'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,209.0,DSC
"poly[4,4'-oxydiphenylene 2,2',3,3'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,234.0,DSC
"poly[4,4'-oxydiphenylene 3,3',4,4'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,212.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 3,3',4,4'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,178.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 2,2',3,3'-(4,4'-thiodiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Oc1ccc(cc1)Sc1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,202.0,DSC
"poly[1,3-phenylene 2,2',3,3'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,266.0,DSC
"poly[1,3-phenylene 3,3',4,4'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,265.0,DSC
"poly[4,4'-oxydiphenylene 2,2',3,3'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,267.0,DSC
"poly[4,4'-oxydiphenylene 3,3',4,4'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,260.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 3,3',4,4'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,219.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 2,2',3,3'-(4,4'-sulfonyldiphenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cccc2c1C(=O)N(C2=O)*,230.0,DSC
"poly[4,4'-oxydiphenylene 2,2',3,3'-(m-phenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2Oc1cccc(c1)Oc1cccc2c1C(=O)N(C2=O)*,226.0,DSC
"poly[4,4'-oxydiphenylene 3,3',4,4'-(m-phenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)Oc1cccc(c1)Oc1ccc2c(c1)C(=O)N(C2=O)*,209.0,DSC
"poly[4,4'-(m-phenylenedioxy)diphenylene 2,2',3,3'-(m-phenylenedioxy)diphenylenetetracarboxydiimide]",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)c(ccc2)Oc1cccc(c1)Oc1cccc2c1C(=O)N(C2=O)*,193.0,DSC
"poly[1,3-phenylene 3,3',4,4'-(m-phenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cccc(c1)Oc1ccc2c(c1)C(=O)N(C2=O)*,224.0,DSC
"poly[1,3-phenylene 2,2',3,3'-(m-phenylenedioxy)diphenylenetetracarboxydiimide]",*c1cccc(c1)N1C(=O)c2c(C1=O)c(ccc2)Oc1cccc(c1)Oc1cccc2c1C(=O)N(C2=O)*,241.0,DSC
