PI name,SMILES-Polymer,Tg(℃),Measurement methods
"poly{1,1',3,3'-tetraoxo-5,5'-biisoindoline-2,2'-diyl-4-[4-(4-methylphenylsulfonyl)phenoxy]-1,3-phenylene}",Cc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*)*,281.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diylcarbonyl-1,3-dioxoisoindoline-5,2-diyl-4-[4-(4-methylphenylsulfonyl)phenoxy]-1,3-phenylene}",Cc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1N1C(=O)c2c(C1=O)cc(cc2)*)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,293.0,DSC
"poly(1,3-dioxoisoindoline-5,2-diyl-1,3-phenylene(oxo)(phenyl)-lambda5-phosphanediyl-1,3-phenylene-1,3-dioxoisoindoline-2,5-diylcarbonylimino-1,4-phenylenecarbonyl-1,4-phenyleneiminocarbonyl)",*C(=O)Nc1ccc(cc1)C(=O)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1ccccc1,238.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl){4-[(4-fluorophenyl)diazenyl]-1,3-phenylene}(1,3-dioxoisoindoline-2,5-diyl)carbonylimino(2,6-dimethyl-1,4-phenylene)methylene(3,5-dimethyl-1,4-phenylene)iminocarbonyl]",Fc1ccc(cc1)N=Nc1ccc(cc1N1C(=O)c2c(C1=O)cc(cc2)*)N1C(=O)c2c(C1=O)ccc(c2)C(=O)Nc1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)NC(=O)*,279.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)(4-{[4-(trifluoromethoxy)phenyl]diazenyl}-1,3-phenylene)(1,3-dioxoisoindoline-2,5-diyl)carbonylimino(2,6-dimethyl-1,4-phenylene)methylene(3,5-dimethyl-1,4-phenylene)iminocarbonyl]",*c1ccc2c(c1)C(=O)N(C2=O)c1cc(ccc1N=Nc1ccc(cc1)OC(F)(F)F)N1C(=O)c2c(C1=O)ccc(c2)C(=O)Nc1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)NC(=O)*,278.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl){4-[(4-nitrophenyl)diazenyl]-1,3-phenylene}(1,3-dioxoisoindoline-2,5-diyl)carbonylimino(2,6-dimethyl-1,4-phenylene)methylene(3,5-dimethyl-1,4-phenylene)iminocarbonyl]",*c1ccc2c(c1)C(=O)N(C2=O)c1cc(ccc1N=Nc1ccc(cc1)[N+](=O)[O-])N1C(=O)c2c(C1=O)ccc(c2)C(=O)Nc1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)NC(=O)*,280.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl){4-[(p-tolyl)diazenyl]-1,3-phenylene}(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenylenemethylene-1,4-phenyleneiminocarbonyl]",*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)C,268.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl){4-[(p-tolyl)diazenyl]-1,3-phenylene}(1,3-dioxoisoindoline-2,5-diyl)carbonylimino(2-methyl-1,4-phenylene)methylene(3-methyl-1,4-phenylene)iminocarbonyl]",Cc1ccc(cc1)N=Nc1ccc(cc1N1C(=O)c2c(C1=O)cc(cc2)*)N1C(=O)c2c(C1=O)ccc(c2)C(=O)Nc1ccc(cc1C)Cc1ccc(c(c1)C)NC(=O)*,257.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl){4-[(p-tolyl)diazenyl]-1,3-phenylene}(1,3-dioxoisoindoline-2,5-diyl)carbonylimino(2,6-diethyl-1,4-phenylene)methylene(3,5-diethyl-1,4-phenylene)iminocarbonyl]",CCc1cc(Cc2cc(CC)c(c(c2)CC)NC(=O)*)cc(c1NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)C)CC,269.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenyleneureylene-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)NC(=O)Nc1ccc(cc1)NC(=O)*,208.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenylene(4-phenylpyridine-2,6-diyl)-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)NC(=O)*)c1ccccc1,215.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenylenesulfonyl-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)*,205.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenyleneiminocarbonyl(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)NC(=O)*,216.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenylenecarbonyl-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)C(=O)c1ccc(cc1)NC(=O)*,212.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenylenemethylene-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)*,211.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonylimino-1,4-phenyleneoxy-1,4-phenyleneiminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)*,205.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonyliminofluorene-2,7-diyliminocarbonyl(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc2-c3c(Cc2c1)cc(cc3)NC(=O)*,224.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,4-phenyleneureylene-1,4-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonyliminobiphenyl-4,4'-diyliminocarbonyl]",O=C(Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)Nc1ccc(cc1)c1ccc(cc1)NC(=O)*,233.0,DSC
"poly{(1,3-dioxoisoindoline-2,5-diyl)carbonyliminopyridine-2,6-diyliminocarbonyl(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene[(oxo)(phenyl)-lambda5-phosphanediyl]-1,3-phenylene}",*C(=O)Nc1cccc(n1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)c1ccccc1,156.0,DSC
"poly{(1,3,6,8-tetraoxo-1,2,3,6,7,8-hexahydro-2,7-diazapyrene-2,7-diyl)-1,4-phenyleneoxy-1,4-phenylene[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]-1,4-phenyleneoxy-1,4-phenylene}",*c1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)*,280.0,DSC
"poly{(1,3,6,8-tetraoxo-1,2,3,6,7,8-hexahydro-2,7-diazapyrene-2,7-diyl)-1,4-phenyleneoxy(2-sulfo-1,4-phenylene)[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl](3-sulfo-1,4-phenylene)oxy-1,4-phenylene}",*c1ccc(cc1)Oc1ccc(cc1S(=O)(=O)O)C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)S(=O)(=O)O)Oc1ccc(cc1)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)*,270.0,DSC
"poly[1,3-dioxoisoindoline-2,5-diylcarbonyl-1,3-dioxoisoindoline-5,2-diyl(2,6-dimethyl-1,4-phenylene)methylene(3,5-dimethyl-1,4-phenylene)]",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,331.0,DSC
"poly[1,3-dioxoisoindoline-2,5-diylcarbonyl-1,3-dioxoisoindoline-5,2-diyl(2,6-diethyl-1,4-phenylene)methylene(3,5-diethyl-1,4-phenylene)]",CCc1cc(Cc2cc(CC)c(c(c2)CC)N2C(=O)c3c(C2=O)cc(cc3)*)cc(c1N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)CC,296.0,DSC
"poly[1,3-dioxoisoindoline-2,5-diylcarbonyl-1,3-dioxoisoindoline-5,2-diyl(2,6-diisopropyl-1,4-phenylene)methylene(3,5-diisopropyl-1,4-phenylene)]",*c1ccc2c(c1)C(=O)N(C2=O)c1c(cc(cc1C(C)C)Cc1cc(C(C)C)c(c(c1)C(C)C)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)C(C)C,263.0,DSC
"poly{1,1',3,3'-tetraoxo-5,5'-biisoindoline-2,2'-diyl[5-(trifluoromethyl)-1,3-phenylene]oxy[3,3',5,5'-tetramethylbiphenyl-4,4'-diyl]oxy[5-(trifluoromethyl)-1,3-phenylene]}",*c1cc(Oc2c(C)cc(cc2C)c2cc(C)c(c(c2)C)Oc2cc(cc(c2)C(F)(F)F)N2C(=O)c3c(C2=O)cc(cc3)c2ccc3c(c2)C(=O)N(C3=O)*)cc(c1)C(F)(F)F,281.1,DSC
"poly{1,3-dioxoisoindoline-2,5-diylcarbonyl-1,3-dioxoisoindoline-5,2-diyl[5-(trifluoromethyl)-1,3-phenylene]oxy[3,3',5,5'-tetramethylbiphenyl-4,4'-diyl]oxy[5-(trifluoromethyl)-1,3-phenylene]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cc(Oc2c(C)cc(cc2C)c2cc(C)c(c(c2)C)Oc2cc(cc(c2)C(F)(F)F)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc(c1)C(F)(F)F,265.4,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,3-dioxoisoindoline-5,2-diyl[5-(trifluoromethyl)-1,3-phenylene]oxy[3,3',5,5'-tetramethylbiphenyl-4,4'-diyl]oxy[5-(trifluoromethyl)-1,3-phenylene]}",*c1cc(Oc2c(C)cc(cc2C)c2cc(C)c(c(c2)C)Oc2cc(cc(c2)C(F)(F)F)N2C(=O)c3c(C2=O)cc(cc3)Oc2ccc3c(c2)C(=O)N(C3=O)*)cc(c1)C(F)(F)F,252.2,DSC
"poly{1,3-dioxoisoindoline-2,5-diylbis(trifluoromethyl)methylene-1,3-dioxoisoindoline-5,2-diyl[5-(trifluoromethyl)-1,3-phenylene]oxy[3,3',5,5'-tetramethylbiphenyl-4,4'-diyl]oxy[5-(trifluoromethyl)-1,3-phenylene]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cc(Oc2c(C)cc(cc2C)c2cc(C)c(c(c2)C)Oc2cc(cc(c2)C(F)(F)F)N2C(=O)c3c(C2=O)cc(cc3)C(C(F)(F)F)(C(F)(F)F)*)cc(c1)C(F)(F)F,264.8,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-1,4-phenyleneoxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,197.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-1,2-phenyleneoxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccccc1Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,185.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxybiphenyl-4,4'-diyloxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,208.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-3,3',5,5'-tetramethylbiphenyl-4,4'-diyloxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,270.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-1,4-phenylenedimethylmethylene-1,4-phenyleneoxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,192.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-1,4-phenylenebis(trifluoromethyl)methylene-1,4-phenyleneoxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,191.0,DSC
"poly{1,3-dioxoisoindoline-2,5-diyloxy-1,2-phenyleneoxy-1,3-dioxoisoindoline-5,2-diyl[3-(trifluoromethyl)-1,4-phenylene]oxy-1,4-phenylenefluorene-9,9-diyl-1,4-phenyleneoxy[2-(trifluoromethyl)-1,4-phenylene]}",*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(cc2C(F)(F)F)N2C(=O)c3c(C2=O)cc(cc3)Oc2ccccc2Oc2ccc3c(c2)C(=O)N(C3=O)*)c2ccccc2-c2c1cccc2,241.0,DSC
"poly{(1,3-dioxoisoindoline-2,5-diyl)[bis(trifluoromethyl)methylene](1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene({4-[4-(adamantan-1-yl)phenoxy]phenyl}oxo-lambda5-phosphanediyl)-1,3-phenylene}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)*)c1ccc(cc1)Oc1ccc(cc1)C12CC3CC(C2)CC(C1)C3,298.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonyl(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene({4-[4-(adamantan-1-yl)phenoxy]phenyl}oxo-lambda5-phosphanediyl)-1,3-phenylene]",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)C(=O)*)c1ccc(cc1)Oc1ccc(cc1)C12CC3CC(C2)CC(C1)C3,305.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)oxy(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene({4-[4-(adamantan-1-yl)phenoxy]phenyl}oxo-lambda5-phosphanediyl)-1,3-phenylene]",*c1cccc(c1)P(=O)(c1ccc(cc1)Oc1ccc(cc1)C12CC3CC(C2)CC(C1)C3)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,290.0,DSC
"poly[(1,3,5,7-tetraoxo-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl)-1,3-phenylene({4-[4-(adamantan-1-yl)phenoxy]phenyl}oxo-lambda5-phosphanediyl)-1,3-phenylene]",*c1cccc(c1)P(=O)(c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)c1ccc(cc1)Oc1ccc(cc1)C12CC3CC(C2)CC(C1)C3,330.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonyloxyethylene({4-[(4-nitrophenyl)diazenyl]phenyl}imino)ethyleneoxycarbonyl]",*C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CCOC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,210.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonyloxyethylene{[4-(p-tolyldiazenyl)phenyl]imino}ethyleneoxycarbonyl]",*C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)C)CCOC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,171.0,DSC
"poly[(1,3-dioxoisoindoline-5,2-diyl)-1,3-phenylene(1,3-dioxoisoindoline-2,5-diyl)carbonyloxyethylene({4-[(4-fluorophenyl)diazenyl]phenyl}imino)ethyleneoxycarbonyl]",*C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)F)CCOC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,168.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonylimino{4-[(4-nitrophenyl)diazenyl]-1,3-phenylene}iminocarbonyl(1,3-dioxoisoindoline-5,2-diyl)(2,6-dimethyl-1,4-phenylene)methylene(3,5-dimethyl-1,4-phenylene)]",*C(=O)Nc1ccc(c(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)Cc1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)[N+](=O)[O-],264.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonylimino{4-[(4-nitrophenyl)diazenyl]-1,3-phenylene}iminocarbonyl(1,3-dioxoisoindoline-5,2-diyl)(3,3',5,5'-tetramethylbiphenyl-4,4'-diyl)]",*C(=O)Nc1ccc(c(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)*)N=Nc1ccc(cc1)[N+](=O)[O-],278.0,DSC
"poly[(1,1',3,3'-tetraoxo-5,5'-biisoindoline-2,2'-diyl)(2,4,6-trimethyl-1,3-phenylene)carbonyl-1,3-phenylene]",*c1cccc(c1)C(=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*)C,320.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)oxy(1,3-dioxoisoindoline-5,2-diyl)(2,4,6-trimethyl-1,3-phenylene)carbonyl-1,3-phenylene]",*c1cccc(c1)C(=O)c1c(C)cc(c(c1C)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*)C,287.0,DSC
"poly[(1,3-dioxoisoindoline-2,5-diyl)carbonyl(1,3-dioxoisoindoline-5,2-diyl)(2,4,6-trimethyl-1,3-phenylene)carbonyl-1,3-phenylene]",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)C(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)C,300.0,DSC
"poly{(1,3-dioxoisoindoline-2,5-diyl)[bis(trifluoromethyl)methylene](1,3-dioxoisoindoline-5,2-diyl)(2,4,6-trimethyl-1,3-phenylene)carbonyl-1,3-phenylene}",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)C(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)C,280.0,DSC
"poly({4-[3,5-bis(trifluoromethyl)phenyl]-1,3,5,7-tetraoxo-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene{[3,5-bis(trifluoromethyl)phenyl]oxo-lambda5-phosphanediyl}-1,3-phenylene)",*c1cccc(c1)P(=O)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)c(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1c(c2)c(=O)n(c1=O)*,280.0,DSC
"poly({4-[3,5-bis(trifluoromethyl)phenyl]-1,3,5,7-tetraoxo-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene{oxo[4-(trifluoromethyl)phenyl]-lambda5-phosphanediyl}-1,3-phenylene)",*c1cccc(c1)P(=O)(c1ccc(cc1)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2cc(cc(c2)C(F)(F)F)C(F)(F)F)c(=O)n(c1=O)*,290.0,DSC
"poly({4-[3,5-bis(trifluoromethyl)phenyl]-1,3,5,7-tetraoxo-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene[oxo(phenyl)-lambda5-phosphanediyl]-1,3-phenylene)",*c1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2cc(cc(c2)C(F)(F)F)C(F)(F)F)c(=O)n(c1=O)*,299.0,DSC
"poly({1,3,5,7-tetraoxo-4-[4-(trifluoromethyl)phenyl]-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene{[3,5-bis(trifluoromethyl)phenyl]oxo-lambda5-phosphanediyl}-1,3-phenylene)",*c1cccc(c1)P(=O)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2ccc(cc2)C(F)(F)F)c(=O)n(c1=O)*,292.0,DSC
"poly({1,3,5,7-tetraoxo-4-[4-(trifluoromethyl)phenyl]-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene{oxo[4-(trifluoromethyl)phenyl]-lambda5-phosphanediyl}-1,3-phenylene)",*c1cccc(c1)P(=O)(c1ccc(cc1)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)c(c1ccc(cc1)C(F)(F)F)c1c(c2)c(=O)n(c1=O)*,303.0,DSC
"poly({1,3,5,7-tetraoxo-4-[4-(trifluoromethyl)phenyl]-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl}-1,3-phenylene[oxo(phenyl)-lambda5-phosphanediyl]-1,3-phenylene)",*c1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2ccc(cc2)C(F)(F)F)c(=O)n(c1=O)*,318.0,DSC
"poly[(1,3,5,7-tetraoxo-4-phenyl-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl)-1,3-phenylene{[3,5-bis(trifluoromethyl)phenyl]oxo-lambda5-phosphanediyl}-1,3-phenylene]",*c1cccc(c1)P(=O)(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2ccccc2)c(=O)n(c1=O)*,300.0,DSC
"poly[(1,3,5,7-tetraoxo-4-phenyl-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl)-1,3-phenylene{oxo[4-(trifluoromethyl)phenyl]-lambda5-phosphanediyl}-1,3-phenylene]",*c1cccc(c1)P(=O)(c1ccc(cc1)C(F)(F)F)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2c2ccccc2)c(=O)n(c1=O)*,311.0,DSC
"poly{(1,3,5,7-tetraoxo-4-phenyl-5,7-dihydro-1H,3H-benzo[1,2-c:4,5-c']dipyrrole-2,6-diyl)-1,3-phenylene[oxo(phenyl)-lambda5-phosphanediyl]-1,3-phenylene}",*c1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)n1c(=O)c2c(c1=O)c(c1ccccc1)c1c(c2)c(=O)n(c1=O)*,322.0,DSC
